"kobo_farmer_id","country","name_question","name_choice","module","theme","indicator","label_choice","label_question","type","type_question","list_name","name_question_recla"
"273954914","zimbabwe","_2_8_4_3_4","Water from underground","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"273955054","zimbabwe","_2_8_4_3_4","Wheelbarrow","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"273955449","zimbabwe","_2_8_4_3_4","Wheelbarrow","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"273957290","zimbabwe","_2_8_4_3_4","Wheelbarrow","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"273957322","zimbabwe","_2_8_4_3_4","Wheelbarrow","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"273964205","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"273980695","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"273981076","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"274044677","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"274044729","zimbabwe","_2_8_4_3_4","Wheelbarrow","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"274044776","zimbabwe","_2_8_4_3_4","Wheelbarrow","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"274044785","zimbabwe","_2_8_4_3_4","Wheelbarrow or hired tractor","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"274090924","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"274119031","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"274119079","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"274119136","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"274119263","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"274165351","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"274179682","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"274263193","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"274272276","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"274273122","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"274575514","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"274575712","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"274576250","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"274576259","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"274576491","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"274594938","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"274665098","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"274879806","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"274883395","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"274883537","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"274886561","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"274890580","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"274895804","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"274915272","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"275184810","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"275185887","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"275188124","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"275190625","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"275190637","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"275477905","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"275481309","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"275481379","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"275499519","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"275500098","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"275740254","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"275740287","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"275740299","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"275792865","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"275792879","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"275793251","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"275793961","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"275802604","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"275802701","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"275830068","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"276003238","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"276003242","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"276009583","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"276025610","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"276025620","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"276181335","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"276184637","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"276771369","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"276771508","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"276771578","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"276851467","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"276851500","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"276851554","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"276851608","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"276851610","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"276851613","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"278927456","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"272951213","zimbabwe","_2_9_1_1_1","crop rotation","performance","environmental","biodiversity_practices","other ecological practice","**Which ecological practices do you use on cropland to improve soil quality and health?**","text","text",NA,"_2_9_1_1"
"273785070","zimbabwe","_2_9_1_1_1","crop rotation","performance","environmental","biodiversity_practices","other ecological practice","**Which ecological practices do you use on cropland to improve soil quality and health?**","text","text",NA,"_2_9_1_1"
"273368670","zimbabwe","_3_3_1_1_9_1","Mountains are in there","performance","environmental","biodiversity_cover",NA,"**Specify other landscape features:**","text","text",NA,"_3_3_1_1_9_1"
"273368690","zimbabwe","_3_3_1_1_9_1","Trees","performance","environmental","biodiversity_cover",NA,"**Specify other landscape features:**","text","text",NA,"_3_3_1_1_9_1"
"273694086","zimbabwe","_3_3_1_1_9_1","Their are mountains  surrounded  the area","performance","environmental","biodiversity_cover",NA,"**Specify other landscape features:**","text","text",NA,"_3_3_1_1_9_1"
"273955485","zimbabwe","_3_3_1_1_9_1","The other 3acres of his land are close to a mountain","performance","environmental","biodiversity_cover",NA,"**Specify other landscape features:**","text","text",NA,"_3_3_1_1_9_1"
"273955679","zimbabwe","_3_3_1_1_9_1","The homestead is close to a stream and kopje and a bushes","performance","environmental","biodiversity_cover",NA,"**Specify other landscape features:**","text","text",NA,"_3_3_1_1_9_1"
"273955747","zimbabwe","_3_3_1_1_9_1","The homestead is close to kopje and and bushes","performance","environmental","biodiversity_cover",NA,"**Specify other landscape features:**","text","text",NA,"_3_3_1_1_9_1"
"273957290","zimbabwe","_3_3_1_1_9_1","The farmer stays close to a kopje and a bushes","performance","environmental","biodiversity_cover",NA,"**Specify other landscape features:**","text","text",NA,"_3_3_1_1_9_1"
"273957322","zimbabwe","_3_3_1_1_9_1","The other fields are close to bushes","performance","environmental","biodiversity_cover",NA,"**Specify other landscape features:**","text","text",NA,"_3_3_1_1_9_1"
"274272276","zimbabwe","_3_3_1_1_9_1","Waterway","performance","environmental","biodiversity_cover",NA,"**Specify other landscape features:**","text","text",NA,"_3_3_1_1_9_1"
"274575514","zimbabwe","_3_3_1_1_9_1","Hills","performance","environmental","biodiversity_cover",NA,"**Specify other landscape features:**","text","text",NA,"_3_3_1_1_9_1"
"274576259","zimbabwe","_3_3_1_1_9_1","Rocky areas","performance","environmental","biodiversity_cover",NA,"**Specify other landscape features:**","text","text",NA,"_3_3_1_1_9_1"
"274883395","zimbabwe","_3_3_1_1_9_1","Bushes","performance","environmental","biodiversity_cover",NA,"**Specify other landscape features:**","text","text",NA,"_3_3_1_1_9_1"
"274883537","zimbabwe","_3_3_1_1_9_1","Stones","performance","environmental","biodiversity_cover",NA,"**Specify other landscape features:**","text","text",NA,"_3_3_1_1_9_1"
"275184810","zimbabwe","_3_3_1_1_9_1","Hills","performance","environmental","biodiversity_cover",NA,"**Specify other landscape features:**","text","text",NA,"_3_3_1_1_9_1"
"275477905","zimbabwe","_3_3_1_1_9_1","Hills and stones","performance","environmental","biodiversity_cover",NA,"**Specify other landscape features:**","text","text",NA,"_3_3_1_1_9_1"
"275478105","zimbabwe","_3_3_1_1_9_1","Stones","performance","environmental","biodiversity_cover",NA,"**Specify other landscape features:**","text","text",NA,"_3_3_1_1_9_1"
"275500098","zimbabwe","_3_3_1_1_9_1","Rocky areas","performance","environmental","biodiversity_cover",NA,"**Specify other landscape features:**","text","text",NA,"_3_3_1_1_9_1"
"275792865","zimbabwe","_3_3_1_1_9_1","Bushes","performance","environmental","biodiversity_cover",NA,"**Specify other landscape features:**","text","text",NA,"_3_3_1_1_9_1"
"275792879","zimbabwe","_3_3_1_1_9_1","Bushes","performance","environmental","biodiversity_cover",NA,"**Specify other landscape features:**","text","text",NA,"_3_3_1_1_9_1"
"276009583","zimbabwe","_3_3_1_1_9_1","Musangu tree","performance","environmental","biodiversity_cover",NA,"**Specify other landscape features:**","text","text",NA,"_3_3_1_1_9_1"
"276184566","zimbabwe","_3_3_1_1_9_1","Trees and slope","performance","environmental","biodiversity_cover",NA,"**Specify other landscape features:**","text","text",NA,"_3_3_1_1_9_1"
"276184637","zimbabwe","_3_3_1_1_9_1","Mushuma tree","performance","environmental","biodiversity_cover",NA,"**Specify other landscape features:**","text","text",NA,"_3_3_1_1_9_1"
"273955054","zimbabwe","_3_3_1_7_1","Use of ashes and riversand","performance","environmental","biodiversity_practices","other ecological practice","**What ecological practices did you apply in the last 12 months [add country meaning] on the farm to manage crop pests?**","text","text",NA,"_3_3_1_7"
"276771578","zimbabwe","_3_3_1_7_1","Cricket hand removal","performance","environmental","biodiversity_practices","other ecological practice","**What ecological practices did you apply in the last 12 months [add country meaning] on the farm to manage crop pests?**","text","text",NA,"_3_3_1_7"
"276851610","zimbabwe","_3_3_1_7_1","Cricket hand removal","performance","environmental","biodiversity_practices","other ecological practice","**What ecological practices did you apply in the last 12 months [add country meaning] on the farm to manage crop pests?**","text","text",NA,"_3_3_1_7"
"272780329","zimbabwe","_3_3_2_1","2021","performance","environmental","biodiversity_climate_mitigation",NA,"**Since when has your household been farming this land?**","integer","integer",NA,"_3_3_2_1"
"272780344","zimbabwe","_3_3_2_1","2015","performance","environmental","biodiversity_climate_mitigation",NA,"**Since when has your household been farming this land?**","integer","integer",NA,"_3_3_2_1"
"272785748","zimbabwe","_3_3_2_1","1981","performance","environmental","biodiversity_climate_mitigation",NA,"**Since when has your household been farming this land?**","integer","integer",NA,"_3_3_2_1"
"272785806","zimbabwe","_3_3_2_1","2003","performance","environmental","biodiversity_climate_mitigation",NA,"**Since when has your household been farming this land?**","integer","integer",NA,"_3_3_2_1"
"272796405","zimbabwe","_3_3_2_1","1966","performance","environmental","biodiversity_climate_mitigation",NA,"**Since when has your household been farming this land?**","integer","integer",NA,"_3_3_2_1"
"272799312","zimbabwe","_3_3_2_1","1969","performance","environmental","biodiversity_climate_mitigation",NA,"**Since when has your household been farming this land?**","integer","integer",NA,"_3_3_2_1"
"272799497","zimbabwe","_3_3_2_1","1978","performance","environmental","biodiversity_climate_mitigation",NA,"**Since when has your household been farming this land?**","integer","integer",NA,"_3_3_2_1"
"272814278","zimbabwe","_3_3_2_1","1965","performance","environmental","biodiversity_climate_mitigation",NA,"**Since when has your household been farming this land?**","integer","integer",NA,"_3_3_2_1"
"272814288","zimbabwe","_3_3_2_1","1969","performance","environmental","biodiversity_climate_mitigation",NA,"**Since when has your household been farming this land?**","integer","integer",NA,"_3_3_2_1"
"272951213","zimbabwe","_3_3_2_1","1991","performance","environmental","biodiversity_climate_mitigation",NA,"**Since when has your household been farming this land?**","integer","integer",NA,"_3_3_2_1"
"272951350","zimbabwe","_3_3_2_1","2016","performance","environmental","biodiversity_climate_mitigation",NA,"**Since when has your household been farming this land?**","integer","integer",NA,"_3_3_2_1"
"272978054","zimbabwe","_3_3_2_1","2009","performance","environmental","biodiversity_climate_mitigation",NA,"**Since when has your household been farming this land?**","integer","integer",NA,"_3_3_2_1"
"272979074","zimbabwe","_3_3_2_1","2000","performance","environmental","biodiversity_climate_mitigation",NA,"**Since when has your household been farming this land?**","integer","integer",NA,"_3_3_2_1"
"272999349","zimbabwe","_3_3_2_1","2019","performance","environmental","biodiversity_climate_mitigation",NA,"**Since when has your household been farming this land?**","integer","integer",NA,"_3_3_2_1"
"272999394","zimbabwe","_3_3_2_1","1993","performance","environmental","biodiversity_climate_mitigation",NA,"**Since when has your household been farming this land?**","integer","integer",NA,"_3_3_2_1"
"272999445","zimbabwe","_3_3_2_1","2012","performance","environmental","biodiversity_climate_mitigation",NA,"**Since when has your household been farming this land?**","integer","integer",NA,"_3_3_2_1"
"273000835","zimbabwe","_3_3_2_1","1970","performance","environmental","biodiversity_climate_mitigation",NA,"**Since when has your household been farming this land?**","integer","integer",NA,"_3_3_2_1"
"273075329","zimbabwe","_3_3_2_1","2014","performance","environmental","biodiversity_climate_mitigation",NA,"**Since when has your household been farming this land?**","integer","integer",NA,"_3_3_2_1"
"273075337","zimbabwe","_3_3_2_1","1999","performance","environmental","biodiversity_climate_mitigation",NA,"**Since when has your household been farming this land?**","integer","integer",NA,"_3_3_2_1"
"273077132","zimbabwe","_3_3_2_1","1970","performance","environmental","biodiversity_climate_mitigation",NA,"**Since when has your household been farming this land?**","integer","integer",NA,"_3_3_2_1"
"273077277","zimbabwe","_3_3_2_1","2012","performance","environmental","biodiversity_climate_mitigation",NA,"**Since when has your household been farming this land?**","integer","integer",NA,"_3_3_2_1"
"273098228","zimbabwe","_3_3_2_1","2004","performance","environmental","biodiversity_climate_mitigation",NA,"**Since when has your household been farming this land?**","integer","integer",NA,"_3_3_2_1"
"273098232","zimbabwe","_3_3_2_1","1976","performance","environmental","biodiversity_climate_mitigation",NA,"**Since when has your household been farming this land?**","integer","integer",NA,"_3_3_2_1"
"273128598","zimbabwe","_3_3_2_1","2005","performance","environmental","biodiversity_climate_mitigation",NA,"**Since when has your household been farming this land?**","integer","integer",NA,"_3_3_2_1"
"273129861","zimbabwe","_3_3_2_1","1975","performance","environmental","biodiversity_climate_mitigation",NA,"**Since when has your household been farming this land?**","integer","integer",NA,"_3_3_2_1"
"273145192","zimbabwe","_3_3_2_1","1939","performance","environmental","biodiversity_climate_mitigation",NA,"**Since when has your household been farming this land?**","integer","integer",NA,"_3_3_2_1"
"273308473","zimbabwe","_3_3_2_1","1999","performance","environmental","biodiversity_climate_mitigation",NA,"**Since when has your household been farming this land?**","integer","integer",NA,"_3_3_2_1"
