,module,indicator,country,kobo_id,name_question,type,type_question,list_name,label_question,label_choice,name_choice,score_agroecology_module
11,agroecology,8_knowledge,zimbabwe,272951350,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,12,5
12,agroecology,8_knowledge,zimbabwe,272978054,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,12,5
13,agroecology,8_knowledge,zimbabwe,272979074,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,12,5
14,agroecology,8_knowledge,zimbabwe,272999349,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,15,5
15,agroecology,8_knowledge,zimbabwe,272999394,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,9,5
16,agroecology,8_knowledge,zimbabwe,272999445,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,14,5
17,agroecology,8_knowledge,zimbabwe,273000835,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,60,5
18,agroecology,8_knowledge,zimbabwe,273075329,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,10,5
19,agroecology,8_knowledge,zimbabwe,273075337,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,10,5
20,agroecology,8_knowledge,zimbabwe,273077132,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,12,5
21,agroecology,8_knowledge,zimbabwe,273077277,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,12,5
22,agroecology,8_knowledge,zimbabwe,273098228,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Received 2 to 3 visits per year from agricultural extension workers,2,3
23,agroecology,8_knowledge,zimbabwe,273098232,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Received 2 to 3 visits per year from agricultural extension workers,2,3
24,agroecology,8_knowledge,zimbabwe,273128598,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,14,5
25,agroecology,8_knowledge,zimbabwe,273129861,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,14,5
26,agroecology,8_knowledge,zimbabwe,273145192,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,5,5
27,agroecology,8_knowledge,zimbabwe,273308473,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,24,5
28,agroecology,8_knowledge,zimbabwe,273309012,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,12,5
29,agroecology,8_knowledge,zimbabwe,273344326,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,12,5
30,agroecology,8_knowledge,zimbabwe,273368670,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Received 2 to 3 visits per year from agricultural extension workers,2,3
31,agroecology,8_knowledge,zimbabwe,273368690,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Received no visits from agricultural extension workers,0,1
32,agroecology,8_knowledge,zimbabwe,273386759,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,10,5
33,agroecology,8_knowledge,zimbabwe,273386767,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,12,5
34,agroecology,8_knowledge,zimbabwe,273386779,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,10,5
35,agroecology,8_knowledge,zimbabwe,273387865,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,12,5
36,agroecology,8_knowledge,zimbabwe,273395819,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,10,5
37,agroecology,8_knowledge,zimbabwe,273395825,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Received no visits from agricultural extension workers,0,1
38,agroecology,8_knowledge,zimbabwe,273437730,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,20,5
39,agroecology,8_knowledge,zimbabwe,273438050,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,6,5
40,agroecology,8_knowledge,zimbabwe,273554599,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,7,5
41,agroecology,8_knowledge,zimbabwe,273581559,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,6,5
42,agroecology,8_knowledge,zimbabwe,273581588,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,12,5
43,agroecology,8_knowledge,zimbabwe,273676579,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,12,5
44,agroecology,8_knowledge,zimbabwe,273676624,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,7,5
45,agroecology,8_knowledge,zimbabwe,273676899,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,12,5
46,agroecology,8_knowledge,zimbabwe,273677838,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,12,5
47,agroecology,8_knowledge,zimbabwe,273694086,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Received 1 visit per year from agricultural extension workers,1,2
48,agroecology,8_knowledge,zimbabwe,273694095,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Received no visits from agricultural extension workers,0,1
49,agroecology,8_knowledge,zimbabwe,273701712,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,5,5
50,agroecology,8_knowledge,zimbabwe,273701713,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Received 2 to 3 visits per year from agricultural extension workers,3,3
51,agroecology,8_knowledge,zimbabwe,273732786,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,15,5
52,agroecology,8_knowledge,zimbabwe,273732999,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,18,5
53,agroecology,8_knowledge,zimbabwe,273781271,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,6,5
54,agroecology,8_knowledge,zimbabwe,273782166,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,12,5
55,agroecology,8_knowledge,zimbabwe,273785016,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,10,5
56,agroecology,8_knowledge,zimbabwe,273785039,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,12,5
57,agroecology,8_knowledge,zimbabwe,273785070,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Received 2 to 3 visits per year from agricultural extension workers,3,3
58,agroecology,8_knowledge,zimbabwe,273785077,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,6,5
59,agroecology,8_knowledge,zimbabwe,273785094,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,5,5
60,agroecology,8_knowledge,zimbabwe,273785120,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Received 2 to 3 visits per year from agricultural extension workers,3,3
61,agroecology,8_knowledge,zimbabwe,273785134,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Received 2 to 3 visits per year from agricultural extension workers,3,3
62,agroecology,8_knowledge,zimbabwe,273954914,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,12,5
63,agroecology,8_knowledge,zimbabwe,273955054,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,8,5
64,agroecology,8_knowledge,zimbabwe,273955062,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,12,5
65,agroecology,8_knowledge,zimbabwe,273955449,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,5,5
66,agroecology,8_knowledge,zimbabwe,273955485,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Received 4 visits per year from agricultural extension workers,4,4
67,agroecology,8_knowledge,zimbabwe,273955679,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,6,5
68,agroecology,8_knowledge,zimbabwe,273955747,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,12,5
69,agroecology,8_knowledge,zimbabwe,273957288,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Received 2 to 3 visits per year from agricultural extension workers,3,3
70,agroecology,8_knowledge,zimbabwe,273957290,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Received 2 to 3 visits per year from agricultural extension workers,3,3
71,agroecology,8_knowledge,zimbabwe,273957322,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Received 1 visit per year from agricultural extension workers,1,2
72,agroecology,8_knowledge,zimbabwe,273962095,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,10,5
73,agroecology,8_knowledge,zimbabwe,273962216,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,6,5
74,agroecology,8_knowledge,zimbabwe,273964205,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,12,5
75,agroecology,8_knowledge,zimbabwe,273973581,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Received no visits from agricultural extension workers,0,1
76,agroecology,8_knowledge,zimbabwe,273973585,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Received 2 to 3 visits per year from agricultural extension workers,2,3
77,agroecology,8_knowledge,zimbabwe,273980695,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,18,5
78,agroecology,8_knowledge,zimbabwe,273981044,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,12,5
79,agroecology,8_knowledge,zimbabwe,273981076,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,15,5
80,agroecology,8_knowledge,zimbabwe,274044677,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,12,5
81,agroecology,8_knowledge,zimbabwe,274044701,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,24,5
82,agroecology,8_knowledge,zimbabwe,274044729,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,18,5
83,agroecology,8_knowledge,zimbabwe,274044776,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,12,5
84,agroecology,8_knowledge,zimbabwe,274044785,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,13,5
85,agroecology,8_knowledge,zimbabwe,274090924,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,12,5
86,agroecology,8_knowledge,zimbabwe,274119031,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,6,5
87,agroecology,8_knowledge,zimbabwe,274119079,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,21,5
88,agroecology,8_knowledge,zimbabwe,274119136,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,21,5
89,agroecology,8_knowledge,zimbabwe,274119263,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,14,5
90,agroecology,8_knowledge,zimbabwe,274163561,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Received no visits from agricultural extension workers,0,1
91,agroecology,8_knowledge,zimbabwe,274165351,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,12,5
92,agroecology,8_knowledge,zimbabwe,274169955,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Received no visits from agricultural extension workers,0,1
93,agroecology,8_knowledge,zimbabwe,274169989,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Received 1 visit per year from agricultural extension workers,1,2
94,agroecology,8_knowledge,zimbabwe,274179682,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,9,5
95,agroecology,8_knowledge,zimbabwe,274186915,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Received no visits from agricultural extension workers,0,1
96,agroecology,8_knowledge,zimbabwe,274186917,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Received no visits from agricultural extension workers,0,1
97,agroecology,8_knowledge,zimbabwe,274240765,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Received 2 to 3 visits per year from agricultural extension workers,3,3
98,agroecology,8_knowledge,zimbabwe,274263193,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Received 4 visits per year from agricultural extension workers,4,4
99,agroecology,8_knowledge,zimbabwe,274272276,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Received 2 to 3 visits per year from agricultural extension workers,3,3
100,agroecology,8_knowledge,zimbabwe,274273122,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Received 2 to 3 visits per year from agricultural extension workers,3,3
101,agroecology,8_knowledge,zimbabwe,274287150,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,30,5
102,agroecology,8_knowledge,zimbabwe,274573109,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Received 2 to 3 visits per year from agricultural extension workers,3,3
103,agroecology,8_knowledge,zimbabwe,274573130,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Received 2 to 3 visits per year from agricultural extension workers,3,3
104,agroecology,8_knowledge,zimbabwe,274575514,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Received 2 to 3 visits per year from agricultural extension workers,3,3
105,agroecology,8_knowledge,zimbabwe,274575712,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Receive 5 or more visits per year from agricultural extension workers,11,5
106,agroecology,8_knowledge,zimbabwe,274576250,_2_1_1_1,integer,integer,NA,**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**,Received 2 to 3 visits per year from agricultural extension workers,2,3
